|url|number_of_rooms|region|price_dollar|what_floor|max_of_floors|type|state|house_type|ceiling_height|area|kitchen_area|year|heating|furniture|docs|exchange_possible|installment_plan|mortgage_possible|from_whom|lat|lon|added|upped|view|like
4051|https://www.house.kg/details/345708766d02dd9c72b64-63506535|1-комн. кв., 41 м2|Бишкек|65000.0|2|9|105 серия улучшенная|хорошее|панельный|2.8 м.|41 м2||2016 г.|центральное|частично меблирована|договор купли-продажи, технический паспорт, красная книга|обмен не предлагать|||от агента|42.812|74.6389|Добавлено 22 дня назад|Поднято 4 часа назад|196.0|1.0
4052|https://www.house.kg/details/942810766d0026ad77304-78914280|3-комн. кв., 76 м2|Бишкек|90000.0|13|15|элитка|под самоотделку (псо)|монолитный|3 м.|76 м2||2022 г.|на газе||||||от агента|42.8592|74.6134|Добавлено 22 дня назад|Поднято 4 часа назад|205.0|
4053|https://www.house.kg/details/509160466ec1e4f4357e1-42387937|3-комн. кв., 79 м2|Бишкек|130000.0|5|14|элитка|евроремонт|монолитный|3.1 м.|79 м2||2021 г.|центральное||технический паспорт, договор долевого участия, красная книга, акт ввода в эксплуатацию||||от агента|42.8717|74.594|Добавлено 21 час назад|Поднято 4 часа назад|46.0|
4054|https://www.house.kg/details/834116965f7e4568d0247-49689985|2-комн. кв., 52 м2|Бишкек|65500.0|8|9|106 серия|хорошее|панельный||52 м2|||центральное|частично меблирована|договор купли-продажи||||от агента|42.8584|74.6154|Добавлено 6 месяцев назад|Поднято 4 часа назад|1315.0|6.0
4055|https://www.house.kg/details/24405696669928caf22e9-56989514|4-комн. кв., 130 м2|Бишкек|248000.0|4|10|элитка|евроремонт|монолитный|3 м.|130 м2||2022 г.|на газе|частично меблирована|технический паспорт, акт ввода в эксплуатацию, красная книга, договор долевого участия, договор купли-продажи||||от агента|42.8171|74.6059|Добавлено 3 месяца назад|Поднято 4 часа назад|938.0|3.0
4056|https://www.house.kg/details/200277265aa1e0f073f20-97408896|1-комн. кв., 32 м2|Бишкек|48500.0|4|4|104 серия|среднее|панельный||32 м2|||центральное||договор купли-продажи||||от агента|42.8273|74.6169|Добавлено 8 месяцев назад|Поднято 4 часа назад|2426.0|9.0
4057|https://www.house.kg/details/3036244665acea7b9cb13-34364441|1-комн. кв., 57 м2|Бишкек|68000.0|7|14|элитка|под самоотделку (псо)|монолитный|3 м.|57 м2||2024 г.|центральное||договор долевого участия, красная книга||||от агента|42.8525|74.6143|Добавлено 4 месяца назад|Поднято 4 часа назад|1269.0|8.0
4058|https://www.house.kg/details/483693766da8749528ac0-79869944|3-комн. кв., 108 м2|Бишкек|164000.0|13|14|элитка|евроремонт|монолитный|3.1 м.|108 м2||2022 г.|центральное||технический паспорт, акт ввода в эксплуатацию, красная книга, договор долевого участия||||от агента|42.8717|74.5941|Добавлено 14 дней назад|Поднято 4 часа назад|264.0|
4059|https://www.house.kg/details/662756366cd72998241b5-66772225|3-комн. кв., 91 м2|Бишкек|115000.0|12|15|элитка|евроремонт|монолитный|3.1 м.|91 м2||2016 г.|центральное||||||от агента|42.8552|74.6107|Добавлено 24 дня назад|Поднято 4 часа назад|194.0|1.0
4060|https://www.house.kg/details/26287666a9d18963d509-55575523|4-комн. кв., 152 м2|Бишкек|195000.0|4|14|элитка|под самоотделку (псо)|монолитный|3.2 м.|152 м2||2020 г.|центральное||||||от агента|42.82|74.5854|Добавлено 2 месяца назад|Поднято 4 часа назад|405.0|
4061|https://www.house.kg/details/199304066a9d0fa481ba9-60632486|1-комн. кв., 45 м2|Бишкек|60500.0|5|13|элитка|под самоотделку (псо)|монолитный|3 м.|45 м2||2023 г.|центральное||технический паспорт, красная книга||||от агента|42.8459|74.5828|Добавлено 2 месяца назад|Поднято 4 часа назад|556.0|3.0
4062|https://www.house.kg/details/116616066b0c8783b55f3-75691519|2-комн. кв., 88 м2|Бишкек|101000.0|12|14|элитка|под самоотделку (псо)|кирпичный|3 м.|88 м2||2022 г.|на газе||договор долевого участия, красная книга||||от агента|42.8213|74.6168|Добавлено 2 месяца назад|Поднято 4 часа назад|334.0|
4063|https://www.house.kg/details/744302366cd7239948766-16452950|3-комн. кв., 92 м2|Бишкек|115000.0|11|12|элитка|под самоотделку (псо)|монолитный|3.2 м.|92 м2||2022 г.|автономное||||||от агента|42.8169|74.6092|Добавлено 24 дня назад|Поднято 4 часа назад|112.0|
4064|https://www.house.kg/details/5826826655774d9d0c02-81899547|3-комн. кв., 58 м2|Бишкек|73500.0|2|4|104 серия|среднее|панельный||58 м2|||центральное|частично меблирована|||||от агента|42.833|74.6173|Добавлено 4 месяца назад|Поднято 4 часа назад|1029.0|5.0
4065|https://www.house.kg/details/370439566823369cbdcf6-50271174|2-комн. кв., 82 м2|Бишкек|118000.0|14|14|элитка|евроремонт|монолитный|3.1 м.|82 м2||2021 г.||частично меблирована|договор долевого участия, красная книга, технический паспорт||||от агента|42.8726|74.596|Добавлено 3 месяца назад|Поднято 4 часа назад|1010.0|
4066|https://www.house.kg/details/516721866837621cd8fc3-81587947|4-комн. кв., 136 м2|Бишкек|126480.0|13|14|элитка|под самоотделку (псо)|кирпичный|3 м.|136 м2||2022 г.|на газе||договор долевого участия||||от агента|42.8213|74.6168|Добавлено 3 месяца назад|Поднято 4 часа назад|877.0|4.0
4067|https://www.house.kg/details/191099766445bd8dad3f4-55292479|2-комн. кв., 43 м2|Бишкек|63500.0|2|5|индивид. планировка|среднее|кирпичный||43 м2||1980 г.|центральное|частично меблирована|||||от агента|42.8752|74.5768|Добавлено 4 месяца назад|Поднято 4 часа назад|919.0|2.0
4068|https://www.house.kg/details/558589165fe1b5c44e622-06106252|1-комн. кв., 38 м2|Бишкек|57500.0|9|10|индивид. планировка||монолитный|2.5 м.|38 м2|м2|2023 г.||||||есть|от агента|42.8114|74.6221|Добавлено 6 месяцев назад|Поднято 4 часа назад|870.0|2.0
4069|https://www.house.kg/details/577258566c45ec2185d66-04110227|1-комн. кв., 38 м2|Бишкек|55500.0|9|10|элитка|евроремонт|панельный||38 м2|||||||||от агента|42.8179|74.6238|Добавлено 1 месяц назад|Поднято 4 часа назад|401.0|6.0
4070|https://www.house.kg/details/269036566b1a74aa1a1f3-35789884|3-комн. кв., 126 м2|Бишкек|364000.0|3|8|элитка|евроремонт|монолитный|3.4 м.|126 м2||2022 г.|на газе|полностью меблирована|договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, красная книга|||есть|от агента|42.825|74.5839|Добавлено 2 месяца назад|Поднято 4 часа назад|545.0|2.0
4071|https://www.house.kg/details/7984466b1b04f882210-80496186|2-комн. кв., 101 м2|Бишкек|156000.0|4|14|элитка|евроремонт|монолитный|3 м.|101 м2||2020 г.|центральное|частично меблирована|договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, красная книга|||есть|от агента|42.8525|74.6143|Добавлено 2 месяца назад|Поднято 4 часа назад|408.0|1.0
4072|https://www.house.kg/details/235618066c45e32c500e1-97510761|2-комн. кв., 36 м2|Бишкек|60500.0|2|9|106 серия|хорошее|панельный||36 м2|||центральное||||||от агента|42.8286|74.6302|Добавлено 1 месяц назад|Поднято 4 часа назад|466.0|4.0
4073|https://www.house.kg/details/614958265fa275ed751a2-95413714|2-комн. кв., 80.75 м2|Бишкек|103000.0|14|14|индивид. планировка||монолитный|3 м.|80.75 м2|м2|2024 г.||||||есть|от агента|42.872|74.5922|Добавлено 6 месяцев назад|Поднято 4 часа назад|828.0|1.0
4074|https://www.house.kg/details/614958265fa275ed751a2-95413714|2-комн. кв., 80.75 м2|Бишкек|103000.0|14|14|индивид. планировка||монолитный|3 м.|80.75 м2|м2|2024 г.||||||есть|от агента|42.872|74.5922|Добавлено 6 месяцев назад|Поднято 4 часа назад|829.0|1.0
4075|https://www.house.kg/details/1201849668651cd05c937-38150886|2-комн. кв., 43 м2|Бишкек|59500.0|5|5|104 серия|хорошее|панельный||43 м2|||центральное|частично меблирована|||||от агента|42.8679|74.6222|Добавлено 3 месяца назад|Поднято 4 часа назад|632.0|2.0
4076|https://www.house.kg/details/92293926697fc1e0ce214-16147474|2-комн. кв., 80 м2|Бишкек|105000.0|9|12|элитка|евроремонт|панельный|2.8 м.|80 м2||2020 г.|центральное|полностью меблирована|||||от агента|42.8521|74.6419|Добавлено 2 месяца назад|Поднято 4 часа назад|587.0|
4077|https://www.house.kg/details/314041065fa2736ae2c08-25822291|3-комн. кв., 83 м2|Бишкек|130000.0|4|10|индивид. планировка||монолитный|3.05 м.|83 м2|м2|2015 г.||||||есть|от агента|42.8673|74.5918|Добавлено 6 месяцев назад|Поднято 4 часа назад|1158.0|6.0
4078|https://www.house.kg/details/14764926523d16355d8b8-72343426|2-комн. кв., 52 м2|Бишкек|76500.0|1|9|106 серия|среднее|панельный||52 м2|||центральное|пустая|договор купли-продажи||||от агента|42.8712|74.6169|Добавлено 12 месяцев назад|Поднято 4 часа назад|1549.0|1.0
4079|https://www.house.kg/details/494799366c45d8284f417-28395941|1-комн. кв., 34 м2|Бишкек|51500.0|5|9|105 серия|хорошее|панельный||34 м2|||центральное||||||от агента|42.8419|74.5658|Добавлено 1 месяц назад|Поднято 4 часа назад|328.0|5.0
4080|https://www.house.kg/details/650279466e69c351b2246-65342228|2-комн. кв., 81 м2|Бишкек|122000.0|10|12|элитка|евроремонт|монолитный|3 м.|81 м2||2020 г.|центральное|частично меблирована|||||от агента|42.8805|74.5908|Добавлено 5 дней назад|Поднято 4 часа назад|108.0|1.0
4081|https://www.house.kg/details/647313666ec1d2f1ba9f7-55472317|1-комн. кв., 49 м2|Бишкек|90000.0|3|14|элитка|евроремонт|монолитный|3.1 м.|49 м2||2021 г.|центральное||технический паспорт, акт ввода в эксплуатацию||||от агента|42.8717|74.5941|Добавлено 21 час назад|Поднято 4 часа назад|83.0|
4082|https://www.house.kg/details/3248026582a6696c9ae0-57772974|2-комн. кв., 53 м2|Бишкек|76500.0|9|10|элитка|евроремонт|монолитный||53 м2||2015 г.|центральное|полностью меблирована|договор купли-продажи||||от агента|42.8657|74.5924|Добавлено 9 месяцев назад|Поднято 4 часа назад|2314.0|10.0
4083|https://www.house.kg/details/645350565fa221ad746e7-61077339|1-комн. кв., 52.5 м2|Бишкек|53000.0|12|12|индивид. планировка||монолитный|3 м.|52.5 м2|м2|2024 г.||||||есть|от агента|42.8191|74.6034|Добавлено 6 месяцев назад|Поднято 4 часа назад|782.0|3.0
4084|https://www.house.kg/details/349146465fa2212ab92e7-07883929|1-комн. кв., 52.5 м2|Бишкек|55000.0|8|12|индивид. планировка||монолитный|3 м.|52.5 м2|м2|2024 г.||||||есть|от агента|42.8191|74.6034|Добавлено 6 месяцев назад|Поднято 4 часа назад|740.0|3.0
4085|https://www.house.kg/details/8240730663c7ec98972f1-77418401|2-комн. кв., 48.28 м2|с. Арашан|35000.0|||индивид. планировка||кирпичный||48.28 м2|м2|2009 г.||||||есть|от агента|42.7214|74.6484|Добавлено 4 месяца назад|Поднято 4 часа назад|1212.0|10.0
4086|https://www.house.kg/details/487351465f8d5b0bd6498-76510933|1-комн. кв., 47 м2|Бишкек|70500.0|9|9|105 серия||панельный|2.8 м.|47 м2|м2|1978 г.||||||есть|от агента|42.825|74.6242|Добавлено 6 месяцев назад|Поднято 4 часа назад|1092.0|
4087|https://www.house.kg/details/942199465f8d5785b7890-39029451|2-комн. кв., 64.71 м2|Бишкек|109000.0|4|14|индивид. планировка||кирпичный|3 м.|64.71 м2|м2|2022 г.||||||есть|от агента|42.823|74.5856|Добавлено 6 месяцев назад|Поднято 4 часа назад|902.0|1.0
4088|https://www.house.kg/details/444827165f8d53ba7dbd1-05383060|3-комн. кв., 78 м2|Бишкек|110000.0|5|5|индивид. планировка||панельный|2.5 м.|78 м2|м2|1992 г.||||||есть|от агента|42.8679|74.6132|Добавлено 6 месяцев назад|Поднято 4 часа назад|1110.0|3.0
4089|https://www.house.kg/details/37837565f6324f8a4a28-28594511|1-комн. кв., 47 м2|Бишкек|57500.0|5|9|индивид. планировка||панельный|2.8 м.|47 м2|м2|2022 г.||||||есть|от агента|42.8243|74.5914|Добавлено 6 месяцев назад|Поднято 4 часа назад|1295.0|4.0
4090|https://www.house.kg/details/919660966ebe31f969076-88544031|1-комн. кв., 45 м2|с. Кок-Джар/Южная магистраль|54500.0|6|9|106 серия улучшенная|хорошее|панельный|2.8 м.|45 м2|||на газе||||||от собственника|42.8151|74.6478|Добавлено 1 день назад|Поднято 4 часа назад|87.0|1.0
4091|https://www.house.kg/details/5009664653e079c0600f8-49094202|2-комн. кв., 53.3 м2|Россия|220064.0|19|25|105 серия улучшенная|под самоотделку (псо)|монолитный|3 м.|53.3 м2||2025 г.|центральное||договор купли-продажи, договор долевого участия, зеленая книга|||есть|от собственника|55.8517|37.5149|Добавлено 11 месяцев назад|Поднято 4 часа назад|2604.0|
4092|https://www.house.kg/details/94415216090ee490a2972-97906422|2-комн. кв., 77 м2|Россия|201351.0|6|10|элитка|хорошее|кирпичный|3 м.|77 м2||2011 г.|автономное|частично меблирована|||нет|есть|от собственника|54.7159|20.4814|Добавлено 3 года назад|Поднято 4 часа назад|4376.0|
4093|https://www.house.kg/details/44744565f38f5d966792-65666473|2-комн. кв., 72 м2|Бишкек|115000.0|7|10|индивид. планировка||кирпичный|2.5 м.|72 м2|м2|2023 г.||||||есть|от агента|42.8114|74.6221|Добавлено 6 месяцев назад|Поднято 4 часа назад|749.0|1.0
4094|https://www.house.kg/details/359298565f38f4b4d0d23-90111600|3-комн. кв., 106 м2|Бишкек|149000.0|12|13|индивид. планировка||монолитный|3.2 м.|106 м2|м2|2018 г.||||||есть|от агента|42.8816|74.6009|Добавлено 6 месяцев назад|Поднято 4 часа назад|972.0|1.0
4095|https://www.house.kg/details/594358966ec7071a93c09-76941410|2-комн. кв., 43 м2|Бишкек|62500.0|2|4|104 серия|среднее|панельный||43 м2|||центральное|пустая|договор купли-продажи, договор дарения||||от агента|42.8307|74.6056|Добавлено 15 часов назад|Поднято 4 часа назад|38.0|
4096|https://www.house.kg/details/779429966ebcee76c5420-94115677|2-комн. кв., 40 м2|Бишкек|46000.0|6|10|элитка|евроремонт|кирпичный||40 м2|||||договор долевого участия||||от агента|42.8385|74.6194|Добавлено 1 день назад|Поднято 4 часа назад|116.0|1.0
4097|https://www.house.kg/details/689703566ed0e79aa00c6-91390699|3-комн. кв., 80 м2|Бишкек|155000.0|6|14|элитка|евроремонт|монолитный|3 м.|80 м2||2022 г.|на газе||||||от агента|42.8171|74.6059|Добавлено 4 часа назад||13.0|
4098|https://www.house.kg/details/587669865f23d6b409172-18421943|3-комн. кв., 70 м2|Бишкек|82000.0|5|5|106 серия||панельный|3 м.|70 м2|м2|1990 г.||||||есть|от агента|42.8546|74.6865|Добавлено 6 месяцев назад|Поднято 4 часа назад|1054.0|2.0
4099|https://www.house.kg/details/777159366ed0e5b6eddb8-94620593|1-комн. кв., 17 м2|Бишкек|23500.0|4|9|малосемейка|хорошее|панельный||17 м2|||центральное||договор купли-продажи, технический паспорт||||от агента|42.8654|74.6175|Добавлено 4 часа назад||6.0|
4100|https://www.house.kg/details/290764766d2d18cc83ca4-00998770|3-комн. кв., 89.8 м2|Кемин|25000.0|1|1|индивид. планировка|хорошее|кирпичный||89.8 м2||||полностью меблирована|||||от собственника|42.7674|75.6794|Добавлено 20 дней назад|Поднято 4 часа назад|214.0|
4101|https://www.house.kg/details/9350930661900d3c73036-51437261|6 и более комнат кв., 245 м2|Бишкек|490000.0|7|8|элитка|под самоотделку (псо)|монолитный|3.4 м.|245 м2||2022 г.|автономное||технический паспорт, красная книга||||от агента|42.8245|74.5828|Добавлено 5 месяцев назад|Поднято 4 часа назад|1560.0|2.0
4102|https://www.house.kg/details/50493826618f3504d6ee5-88058148|4-комн. кв., 174 м2|Бишкек|268000.0|12|18|элитка|под самоотделку (псо)|монолитный|3 м.|174 м2||2025 г.|автономное||договор долевого участия||||от агента|42.8167|74.6245|Добавлено 5 месяцев назад|Поднято 4 часа назад|1234.0|
4103|https://www.house.kg/details/5573864665ea40b927124-95531507|6 и более комнат кв., 600 м2|Бишкек|620000.0|10|10|элитка|евроремонт|кирпичный|340 м.|600 м2||2018 г.|центральное|частично меблирована|договор купли-продажи, технический паспорт||||от агента|42.8673|74.6073|Добавлено 4 месяца назад|Поднято 4 часа назад|1621.0|4.0
4104|https://www.house.kg/details/267918165ef9af3b09d01-36298593|3-комн. кв., 58 м2|Бишкек|68500.0|1|4|104 серия||панельный|2.5 м.|58 м2|м2|1975 г.||||||есть|от агента|42.8297|74.6066|Добавлено 6 месяцев назад|Поднято 4 часа назад|1734.0|6.0
